"SUID","coexpression","cooccurrence","databases","experiments","fusion","interaction","interspecies","name","neighborhood","score","selected","shared interaction","shared name","textmining" 
"20219",,,"0.9",,,"pp",,"GNB5 (pp) ADM",,"0.9","false","pp","GNB5 (pp) ADM",
"20220",,,"0.9","0.185",,"pp",,"GNB5 (pp) HCAR3",,"0.915","false","pp","GNB5 (pp) HCAR3",
"20221",,,"0.9","0.185",,"pp",,"GNB5 (pp) CCR3",,"0.915","false","pp","GNB5 (pp) CCR3",
"20222","0.061",,"0.9","0.185",,"pp",,"GNB5 (pp) GPR84",,"0.916","false","pp","GNB5 (pp) GPR84",
"20223",,,"0.9",,,"pp",,"GNB5 (pp) BDKRB2",,"0.9","false","pp","GNB5 (pp) BDKRB2",
"20224","0.049",,,,,"pp",,"GNB5 (pp) PITPNC1",,"0.562","false","pp","GNB5 (pp) PITPNC1","0.559"
"20225","0.061",,"0.9",,,"pp",,"GNB5 (pp) S1PR2",,"0.902","false","pp","GNB5 (pp) S1PR2","0.041"
"20226",,,"0.9","0.185",,"pp",,"GNB5 (pp) FPR2",,"0.915","false","pp","GNB5 (pp) FPR2",
"20227",,,"0.9","0.185",,"pp",,"GNB5 (pp) FPR1",,"0.915","false","pp","GNB5 (pp) FPR1",
"20228",,,"0.9",,,"pp",,"GNB5 (pp) FFAR2",,"0.9","false","pp","GNB5 (pp) FFAR2",
"20229",,,"0.9",,,"pp",,"GNB5 (pp) PIK3R6",,"0.928","false","pp","GNB5 (pp) PIK3R6","0.309"
"20230",,,"0.9",,,"pp",,"GNB5 (pp) P2RY6",,"0.9","false","pp","GNB5 (pp) P2RY6",
"20231",,,"0.9",,,"pp",,"GNB5 (pp) CCL4",,"0.9","false","pp","GNB5 (pp) CCL4",
"20232",,,"0.9",,,"pp",,"GNB5 (pp) CCL4L1",,"0.9","false","pp","GNB5 (pp) CCL4L1",
"20233",,,,,,"pp",,"GLCE (pp) CHST7",,"0.466","false","pp","GLCE (pp) CHST7","0.466"
"20234",,,,,,"pp",,"GLCE (pp) EPHB3",,"0.469","false","pp","GLCE (pp) EPHB3","0.469"
"20235","0.081",,,"0.147",,"pp",,"GLCE (pp) HS3ST3B1",,"0.705","false","pp","GLCE (pp) HS3ST3B1","0.654"
"20236","0.061",,"0.9",,,"pp",,"GLCE (pp) SDC1",,"0.935","false","pp","GLCE (pp) SDC1","0.37"
"20237",,,,,,"pp",,"GLCE (pp) ARHGEF38",,"0.457","false","pp","GLCE (pp) ARHGEF38","0.457"
"20238",,,,,,"pp",,"GLCE (pp) CHST12",,"0.481","false","pp","GLCE (pp) CHST12","0.481"
"20239",,,,"0.056",,"pp",,"DAPK2 (pp) C1RL",,"0.574","false","pp","DAPK2 (pp) C1RL","0.567"
"20240",,,"0.8",,,"pp",,"DAPK2 (pp) DAPK1",,"0.803","false","pp","DAPK2 (pp) DAPK1","0.059"
"20241","0.055",,,,,"pp",,"PIK3C3 (pp) WNK2",,"0.419","false","pp","PIK3C3 (pp) WNK2","0.41"
"20242","0.086",,,"0.186",,"pp",,"PIK3C3 (pp) LRRK2",,"0.45","false","pp","PIK3C3 (pp) LRRK2","0.321"
"20243","0.073",,,"0.409",,"pp",,"PIK3C3 (pp) RAB39A",,"0.473","false","pp","PIK3C3 (pp) RAB39A","0.115"
"20244",,,,,,"pp",,"PIK3C3 (pp) CD300C",,"0.535","false","pp","PIK3C3 (pp) CD300C","0.535"
"20245","0.063",,,"0.177",,"pp",,"PIK3C3 (pp) HDAC6",,"0.437","false","pp","PIK3C3 (pp) HDAC6","0.329"
"20246","0.049",,,"0.264",,"pp",,"PIK3C3 (pp) SGK1",,"0.505","false","pp","PIK3C3 (pp) SGK1","0.35"
"20247",,,,"0.164",,"pp",,"PIK3C3 (pp) RRAGD",,"0.462","false","pp","PIK3C3 (pp) RRAGD","0.383"
"20248","0.058",,,"0.124",,"pp",,"PIK3C3 (pp) SRC",,"0.643","false","pp","PIK3C3 (pp) SRC","0.601"
"20249","0.049",,"0.9","0.053",,"pp",,"PIK3C3 (pp) MAP1LC3A",,"0.978","false","pp","PIK3C3 (pp) MAP1LC3A","0.791"
"20250","0.064",,"0.65","0.054",,"pp",,"PIK3C3 (pp) MTMR8",,"0.834","false","pp","PIK3C3 (pp) MTMR8","0.528"
"20251","0.062",,,"0.162",,"pp",,"PIK3C3 (pp) PIP4K2A",,"0.543","false","pp","PIK3C3 (pp) PIP4K2A","0.466"
"20252",,,"0.65","0.157",,"pp",,"PIK3C3 (pp) PLCB4",,"0.699","false","pp","PIK3C3 (pp) PLCB4","0.062"
"20253",,,,,,"pp",,"PIK3C3 (pp) OPTN",,"0.443","false","pp","PIK3C3 (pp) OPTN","0.443"
"20254","0.061",,,,,"pp",,"PIK3C3 (pp) BNIP3L",,"0.583","false","pp","PIK3C3 (pp) BNIP3L","0.574"
"20255","0.08",,,"0.19",,"pp",,"PIK3C3 (pp) STK35",,"0.486","false","pp","PIK3C3 (pp) STK35","0.366"
"20256","0.068",,,,,"pp",,"PIK3C3 (pp) LARS",,"0.678","false","pp","PIK3C3 (pp) LARS","0.667"
"20257",,,,"0.056",,"pp",,"PIK3C3 (pp) NCF4",,"0.446","false","pp","PIK3C3 (pp) NCF4","0.437"
"20258","0.061",,,"0.08",,"pp",,"PIK3C3 (pp) DAPK1",,"0.492","false","pp","PIK3C3 (pp) DAPK1","0.46"
"20259",,,"0.72","0.058",,"pp",,"PIK3C3 (pp) PIK3R5",,"0.839","false","pp","PIK3C3 (pp) PIK3R5","0.439"
"20260","0.058",,,"0.058",,"pp",,"PIK3C3 (pp) RAB7B",,"0.798","false","pp","PIK3C3 (pp) RAB7B","0.791"
"20261",,,"0.72","0.058",,"pp",,"PIK3C3 (pp) PIK3R6",,"0.799","false","pp","PIK3C3 (pp) PIK3R6","0.302"
"20262","0.065",,,,,"pp",,"MSR1 (pp) SCARF1",,"0.489","false","pp","MSR1 (pp) SCARF1","0.476"
"20263","0.164",,"0.54",,,"pp",,"MSR1 (pp) PLA2G7",,"0.642","false","pp","MSR1 (pp) PLA2G7","0.144"
"20264","0.171",,,,,"pp",,"MSR1 (pp) CSF1R",,"0.506","false","pp","MSR1 (pp) CSF1R","0.429"
"20265","0.087",,,,,"pp",,"MSR1 (pp) CXCL16",,"0.698","false","pp","MSR1 (pp) CXCL16","0.683"
"20266","0.248",,,,,"pp",,"MSR1 (pp) FOLR2",,"0.412","false","pp","MSR1 (pp) FOLR2","0.25"
"20267","0.083",,"0.54",,,"pp",,"MSR1 (pp) LIPC",,"0.56","false","pp","MSR1 (pp) LIPC",
"20268","0.369",,,,,"pp",,"MSR1 (pp) C3AR1",,"0.422","false","pp","MSR1 (pp) C3AR1","0.121"
"20269","0.2",,,,,"pp",,"MSR1 (pp) CLEC7A",,"0.499","false","pp","MSR1 (pp) CLEC7A","0.4"
"20270","0.122",,,,,"pp",,"MSR1 (pp) STAB1",,"0.43","false","pp","MSR1 (pp) STAB1","0.378"
"20271","0.116",,,,,"pp",,"MSR1 (pp) CD209",,"0.447","false","pp","MSR1 (pp) CD209","0.4"
"20272",,,"0.54",,,"pp",,"MSR1 (pp) BIN1",,"0.553","false","pp","MSR1 (pp) BIN1","0.069"
"20273",,,"0.54",,,"pp",,"MSR1 (pp) APOL1",,"0.544","false","pp","MSR1 (pp) APOL1","0.05"
"20274","0.061",,,,,"pp",,"MSR1 (pp) CSF1",,"0.467","false","pp","MSR1 (pp) CSF1","0.456"
"20275","0.164",,,,,"pp",,"MSR1 (pp) CD86",,"0.517","false","pp","MSR1 (pp) CD86","0.446"
"20276","0.175",,,,,"pp",,"MSR1 (pp) SIGLEC1",,"0.524","false","pp","MSR1 (pp) SIGLEC1","0.447"
"20277","0.063",,"0.54",,,"pp",,"MSR1 (pp) HP",,"0.649","false","pp","MSR1 (pp) HP","0.251"
"20278","0.333",,,,,"pp",,"MSR1 (pp) CD163",,"0.505","false","pp","MSR1 (pp) CD163","0.287"
"20279","0.262",,,,,"pp",,"MSR1 (pp) FCGR1A",,"0.509","false","pp","MSR1 (pp) FCGR1A","0.362"
"20280","0.329",,,,,"pp",,"MSR1 (pp) TREM2",,"0.548","false","pp","MSR1 (pp) TREM2","0.355"
"20281","0.062",,,,,"pp",,"MSR1 (pp) ABCA1",,"0.432","false","pp","MSR1 (pp) ABCA1","0.42"
"20282","0.391",,,,,"pp",,"MSR1 (pp) VSIG4",,"0.439","false","pp","MSR1 (pp) VSIG4","0.116"
"20283","0.076",,,,,"pp",,"MSR1 (pp) AIF1",,"0.462","false","pp","MSR1 (pp) AIF1","0.442"
"20284","0.063",,,,,"pp",,"MSR1 (pp) IL6",,"0.457","false","pp","MSR1 (pp) IL6","0.445"
"20285","0.078",,,,,"pp",,"MSR1 (pp) TNF",,"0.468","false","pp","MSR1 (pp) TNF","0.447"
"20286","0.076",,,,,"pp",,"MSR1 (pp) IL10",,"0.547","false","pp","MSR1 (pp) IL10","0.53"
"20287","0.126",,,,,"pp",,"MSR1 (pp) ITGAM",,"0.558","false","pp","MSR1 (pp) ITGAM","0.515"
"20288","0.161",,,,,"pp",,"MSR1 (pp) ITGAX",,"0.543","false","pp","MSR1 (pp) ITGAX","0.477"
"20289","0.187",,,,,"pp",,"MSR1 (pp) MRC1",,"0.728","false","pp","MSR1 (pp) MRC1","0.679"
"20290",,,"0.54",,,"pp",,"MSR1 (pp) APOC1",,"0.573","false","pp","MSR1 (pp) APOC1","0.111"
"20291","0.159",,,,,"pp",,"MSR1 (pp) CCL18",,"0.509","false","pp","MSR1 (pp) CCL18","0.44"
"20292","0.049",,,"0.322",,"pp",,"TWSG1 (pp) BMP6",,"0.708","false","pp","TWSG1 (pp) BMP6","0.584"
"20293",,,,,,"pp",,"TWSG1 (pp) TLL2",,"0.408","false","pp","TWSG1 (pp) TLL2","0.408"
"20294","0.049",,,"0.322",,"pp",,"TWSG1 (pp) BMP7",,"0.685","false","pp","TWSG1 (pp) BMP7","0.551"
"20295",,,,,,"pp",,"TWSG1 (pp) HDDC2",,"0.516","false","pp","TWSG1 (pp) HDDC2","0.516"
"20296",,,,,,"pp",,"TWSG1 (pp) HFE",,"0.469","false","pp","TWSG1 (pp) HFE","0.469"
"20297",,,,,,"pp",,"TWSG1 (pp) FHIT",,"0.539","false","pp","TWSG1 (pp) FHIT","0.539"
"20298",,,,,,"pp",,"TWSG1 (pp) RNF43",,"0.637","false","pp","TWSG1 (pp) RNF43","0.637"
"20299",,,,,,"pp",,"TWSG1 (pp) HAMP",,"0.598","false","pp","TWSG1 (pp) HAMP","0.598"
"20300","0.227",,,,,"pp",,"CD33 (pp) TYROBP",,"0.579","false","pp","CD33 (pp) TYROBP","0.477"
"20301",,,,,,"pp",,"CD33 (pp) EPCAM",,"0.418","false","pp","CD33 (pp) EPCAM","0.418"
"20302","0.07",,,,,"pp",,"CD33 (pp) TNFRSF8",,"0.623","false","pp","CD33 (pp) TNFRSF8","0.611"
"20303","0.084",,,,,"pp",,"CD33 (pp) CD80",,"0.539","false","pp","CD33 (pp) CD80","0.518"
"20304","0.064",,,,,"pp",,"CD33 (pp) ICAM1",,"0.454","false","pp","CD33 (pp) ICAM1","0.441"
"20305","0.076",,"0.9",,,"pp",,"CD33 (pp) BST1",,"0.914","false","pp","CD33 (pp) BST1","0.147"
"20306","0.184",,"0.9",,,"pp",,"CD33 (pp) CD53",,"0.928","false","pp","CD33 (pp) CD53","0.197"
"20307","0.168",,,,,"pp",,"CD33 (pp) FCGR2A",,"0.569","false","pp","CD33 (pp) FCGR2A","0.502"
"20308",,,"0.9",,,"pp",,"CD33 (pp) FRMPD3",,"0.9","false","pp","CD33 (pp) FRMPD3",
"20309","0.098",,"0.9",,,"pp",,"CD33 (pp) ATP8B4",,"0.905","false","pp","CD33 (pp) ATP8B4",
"20310","0.168",,,,,"pp",,"CD33 (pp) CSF1R",,"0.526","false","pp","CD33 (pp) CSF1R","0.453"
"20311","0.169",,"0.9",,,"pp",,"CD33 (pp) FCER1G",,"0.919","false","pp","CD33 (pp) FCER1G","0.112"
"20312",,,,,,"pp",,"CD33 (pp) CSF2",,"0.648","false","pp","CD33 (pp) CSF2","0.648"
"20313","0.141",,"0.9",,,"pp",,"CD33 (pp) C3AR1",,"0.922","false","pp","CD33 (pp) C3AR1","0.167"
"20314",,,,,,"pp",,"CD33 (pp) CTLA4",,"0.571","false","pp","CD33 (pp) CTLA4","0.571"
"20315","0.11",,,"0.32",,"pp",,"CD33 (pp) CD14",,"0.609","false","pp","CD33 (pp) CD14","0.405"
"20316","0.065",,,,,"pp",,"CD33 (pp) IL7R",,"0.415","false","pp","CD33 (pp) IL7R","0.4"
"20317","0.096",,,,,"pp",,"CD33 (pp) HAVCR2",,"0.453","false","pp","CD33 (pp) HAVCR2","0.42"
"20318","0.177",,,"0.186",,"pp",,"CD33 (pp) TLR8",,"0.453","false","pp","CD33 (pp) TLR8","0.25"
"20319","0.069",,,,,"pp",,"CD33 (pp) CD209",,"0.437","false","pp","CD33 (pp) CD209","0.421"
"20320",,,"0.9",,,"pp",,"CD33 (pp) DEGS1",,"0.9","false","pp","CD33 (pp) DEGS1",
"20321",,,,,,"pp",,"CD33 (pp) BIN1",,"0.7","false","pp","CD33 (pp) BIN1","0.7"
"20322",,,"0.9",,,"pp",,"CD33 (pp) RAP2B",,"0.9","false","pp","CD33 (pp) RAP2B",
"20323",,,,,,"pp",,"CD33 (pp) CSF1",,"0.426","false","pp","CD33 (pp) CSF1","0.426"
"20324","0.062",,,,,"pp",,"CD33 (pp) IL3RA",,"0.741","false","pp","CD33 (pp) IL3RA","0.736"
"20325","0.155",,,,,"pp",,"CD33 (pp) CD86",,"0.586","false","pp","CD33 (pp) CD86","0.531"
"20326",,,"0.9",,,"pp",,"CD33 (pp) GPR97",,"0.9","false","pp","CD33 (pp) GPR97",
"20327",,,"0.9",,,"pp",,"CD33 (pp) MMP25",,"0.9","false","pp","CD33 (pp) MMP25",
"20328","0.185",,,,,"pp",,"CD33 (pp) MS4A4A",,"0.649","false","pp","CD33 (pp) MS4A4A","0.588"
"20329","0.063",,"0.9",,,"pp",,"CD33 (pp) PLAUR",,"0.912","false","pp","CD33 (pp) PLAUR","0.143"
"20330","0.076",,"0.9",,,"pp",,"CD33 (pp) FCAR",,"0.925","false","pp","CD33 (pp) FCAR","0.258"
"20331","0.185",,"0.9",,,"pp",,"CD33 (pp) CLEC12A",,"0.959","false","pp","CD33 (pp) CLEC12A","0.541"
"20332","0.069",,"0.9",,,"pp",,"CD33 (pp) HVCN1",,"0.905","false","pp","CD33 (pp) HVCN1","0.067"
"20333","0.098",,"0.9",,,"pp",,"CD33 (pp) CEACAM3",,"0.916","false","pp","CD33 (pp) CEACAM3","0.147"
"20334","0.124",,,,,"pp",,"CD33 (pp) FCGR2B",,"0.545","false","pp","CD33 (pp) FCGR2B","0.502"
"20335","0.138",,,,,"pp",,"CD33 (pp) CD163",,"0.577","false","pp","CD33 (pp) CD163","0.53"
"20336","0.18",,"0.9",,,"pp",,"CD33 (pp) CD300A",,"0.926","false","pp","CD33 (pp) CD300A","0.172"
"20337","0.07",,,,,"pp",,"CD33 (pp) CASS4",,"0.577","false","pp","CD33 (pp) CASS4","0.563"
"20338","0.133",,"0.9",,,"pp",,"CD33 (pp) SIGLEC14",,"0.914","false","pp","CD33 (pp) SIGLEC14","0.091"
"20339",,,"0.9",,,"pp",,"CD33 (pp) DNAJC5",,"0.9","false","pp","CD33 (pp) DNAJC5",
"20340",,,"0.9",,,"pp",,"CD33 (pp) TMEM63A",,"0.9","false","pp","CD33 (pp) TMEM63A",
"20341","0.076",,,,,"pp",,"CD33 (pp) CD1B",,"0.644","false","pp","CD33 (pp) CD1B","0.631"
"20342","0.111",,,,,"pp",,"CD33 (pp) FCGR1A",,"0.751","false","pp","CD33 (pp) FCGR1A","0.731"
"20343",,,,,,"pp",,"CD33 (pp) CD40",,"0.475","false","pp","CD33 (pp) CD40","0.475"
"20344","0.175",,,,,"pp",,"CD33 (pp) CSF3R",,"0.473","false","pp","CD33 (pp) CSF3R","0.388"
"20345","0.075",,,,,"pp",,"CD33 (pp) TREM2",,"0.729","false","pp","CD33 (pp) TREM2","0.719"
"20346",,,,"0.294",,"pp",,"CD33 (pp) SRC",,"0.476","false","pp","CD33 (pp) SRC","0.288"
"20347","0.104",,"0.9",,,"pp",,"CD33 (pp) PTAFR",,"0.906","false","pp","CD33 (pp) PTAFR",
"20348","0.107",,,"0.32",,"pp",,"CD33 (pp) C1QA",,"0.419","false","pp","CD33 (pp) C1QA","0.12"
"20349",,,,,,"pp",,"CD33 (pp) HLA-DRB5",,"0.51","false","pp","CD33 (pp) HLA-DRB5","0.51"
"20350",,,,,,"pp",,"CD33 (pp) FOXP3",,"0.513","false","pp","CD33 (pp) FOXP3","0.513"
"20351","0.123",,"0.9",,,"pp",,"CD33 (pp) TNFRSF1B",,"0.919","false","pp","CD33 (pp) TNFRSF1B","0.161"
"20352",,,"0.9",,,"pp",,"CD33 (pp) SLC2A5",,"0.9","false","pp","CD33 (pp) SLC2A5","0.047"
"20353","0.178",,"0.9",,,"pp",,"CD33 (pp) CYBB",,"0.929","false","pp","CD33 (pp) CYBB","0.213"
"20354","0.061",,,,,"pp",,"CD33 (pp) CD83",,"0.483","false","pp","CD33 (pp) CD83","0.473"
"20355","0.116",,,"0.186",,"pp",,"CD33 (pp) TLR7",,"0.498","false","pp","CD33 (pp) TLR7","0.358"
"20356",,,,,,"pp",,"CD33 (pp) SDC1",,"0.474","false","pp","CD33 (pp) SDC1","0.474"
"20357","0.051",,,,,"pp",,"CD33 (pp) CD274",,"0.534","false","pp","CD33 (pp) CD274","0.53"
"20358","0.179",,"0.9","0.32",,"pp",,"CD33 (pp) LAIR1",,"0.952","false","pp","CD33 (pp) LAIR1","0.243"
"20359","0.175",,"0.9",,,"pp",,"CD33 (pp) LILRB2",,"0.918","false","pp","CD33 (pp) LILRB2","0.088"
"20360","0.076",,,,,"pp",,"CD33 (pp) ITGA4",,"0.424","false","pp","CD33 (pp) ITGA4","0.402"
"20361","0.152",,"0.9",,,"pp",,"CD33 (pp) ITGB2",,"0.921","false","pp","CD33 (pp) ITGB2","0.151"
"20362","0.061",,"0.9",,,"pp",,"CD33 (pp) SIRPA",,"0.925","false","pp","CD33 (pp) SIRPA","0.274"
"20363",,,,,,"pp",,"CD33 (pp) IL6",,"0.723","false","pp","CD33 (pp) IL6","0.723"
"20364","0.07",,,,,"pp",,"CD33 (pp) CXCR4",,"0.471","false","pp","CD33 (pp) CXCR4","0.454"
"20365",,,,,,"pp",,"CD33 (pp) PLD3",,"0.441","false","pp","CD33 (pp) PLD3","0.441"
"20366","0.214",,,,,"pp",,"CD33 (pp) MS4A6A",,"0.759","false","pp","CD33 (pp) MS4A6A","0.706"
"20367","0.111",,,,,"pp",,"CD33 (pp) CSF2RA",,"0.404","false","pp","CD33 (pp) CSF2RA","0.358"
"20368","0.088",,,,,"pp",,"CD33 (pp) PRF1",,"0.403","false","pp","CD33 (pp) PRF1","0.373"
"20369","0.076",,,,,"pp",,"CD33 (pp) TNF",,"0.492","false","pp","CD33 (pp) TNF","0.473"
"20370","0.092",,"0.9",,,"pp",,"CD33 (pp) CD36",,"0.911","false","pp","CD33 (pp) CD36","0.108"
"20371","0.089",,,,,"pp",,"CD33 (pp) INPP5D",,"0.51","false","pp","CD33 (pp) INPP5D","0.485"
"20372","0.063",,,,,"pp",,"CD33 (pp) IL10",,"0.545","false","pp","CD33 (pp) IL10","0.534"
"20373","0.078",,,,,"pp",,"CD33 (pp) CEBPA",,"0.652","false","pp","CD33 (pp) CEBPA","0.638"
"20374",,,,,,"pp",,"CD33 (pp) IDO1",,"0.451","false","pp","CD33 (pp) IDO1","0.451"
"20375","0.065",,,,,"pp",,"CD33 (pp) SLC24A4",,"0.508","false","pp","CD33 (pp) SLC24A4","0.496"
"20376","0.098",,,,,"pp",,"CD33 (pp) FCGR3B",,"0.452","false","pp","CD33 (pp) FCGR3B","0.417"
"20377","0.055",,,"0.319",,"pp",,"CD33 (pp) TLR5",,"0.475","false","pp","CD33 (pp) TLR5","0.25"
"20378","0.16",,"0.9",,,"pp",,"CD33 (pp) ITGAM",,"0.981","false","pp","CD33 (pp) ITGAM","0.794"
"20379",,,,,,"pp",,"CD33 (pp) PCSK5",,"0.432","false","pp","CD33 (pp) PCSK5","0.432"
"20380","0.076",,"0.9",,,"pp",,"CD33 (pp) MGAM",,"0.903","false","pp","CD33 (pp) MGAM","0.044"
"20381","0.124",,"0.9",,,"pp",,"CD33 (pp) GPR84",,"0.908","false","pp","CD33 (pp) GPR84",
"20382","0.069",,"0.9",,,"pp",,"CD33 (pp) ADAM8",,"0.905","false","pp","CD33 (pp) ADAM8","0.068"
"20383","0.142",,"0.9",,,"pp",,"CD33 (pp) ITGAX",,"0.969","false","pp","CD33 (pp) ITGAX","0.677"
"20384","0.076",,,,,"pp",,"CD33 (pp) MRC1",,"0.413","false","pp","CD33 (pp) MRC1","0.39"
"20385",,,,,,"pp",,"CD33 (pp) SPON1",,"0.54","false","pp","CD33 (pp) SPON1","0.54"
"20386","0.111",,"0.9",,,"pp",,"CD33 (pp) FPR2",,"0.913","false","pp","CD33 (pp) FPR2","0.1"
"20387",,,,,,"pp",,"CD33 (pp) FLT3LG",,"0.488","false","pp","CD33 (pp) FLT3LG","0.488"
"20388",,,,,,"pp",,"CD33 (pp) TNFRSF9",,"0.412","false","pp","CD33 (pp) TNFRSF9","0.412"
"20389","0.141",,"0.9",,,"pp",,"CD33 (pp) RAB44",,"0.91","false","pp","CD33 (pp) RAB44",
"20390","0.273",,,,,"pp",,"SCPEP1 (pp) PRCP",,"0.432","false","pp","SCPEP1 (pp) PRCP","0.251"
"20391","0.532",,,,,"pp",,"SCPEP1 (pp) IFI30",,"0.534","false","pp","SCPEP1 (pp) IFI30","0.046"
"20392","0.061",,,"0.302",,"pp",,"COTL1 (pp) BIN1",,"0.449","false","pp","COTL1 (pp) BIN1","0.227"
"20393","0.064",,,"0.185",,"pp",,"COTL1 (pp) MYO1F",,"0.474","false","pp","COTL1 (pp) MYO1F","0.366"
"20394","0.05",,,"0.059",,"pp",,"COTL1 (pp) SH3YL1",,"0.421","false","pp","COTL1 (pp) SH3YL1","0.405"
"20395","0.096",,,,,"pp",,"COTL1 (pp) STX11",,"0.408","false","pp","COTL1 (pp) STX11","0.372"
"20396",,,,"0.379",,"pp",,"COTL1 (pp) ALOX5",,"0.972","false","pp","COTL1 (pp) ALOX5","0.958"
"20397","0.177",,,"0.186",,"pp",,"COTL1 (pp) LCP1",,"0.595","false","pp","COTL1 (pp) LCP1","0.444"
"20398",,,,"0.41",,"pp",,"COTL1 (pp) ZMYND8",,"0.41","false","pp","COTL1 (pp) ZMYND8",
"20399",,,,"0.41",,"pp",,"COTL1 (pp) KIAA1958",,"0.41","false","pp","COTL1 (pp) KIAA1958",
"20400","0.088",,,,,"pp",,"COTL1 (pp) ALOX5AP",,"0.659","false","pp","COTL1 (pp) ALOX5AP","0.642"
"20401",,"0.202",,"0.191",,"pp",,"CSNK2A2 (pp) MAP3K8",,"0.405","false","pp","CSNK2A2 (pp) MAP3K8","0.152"
"20402","0.061",,,"0.397",,"pp",,"CSNK2A2 (pp) CABP1",,"0.411","false","pp","CSNK2A2 (pp) CABP1","0.044"
"20403","0.063",,,"0.454",,"pp",,"CSNK2A2 (pp) HDAC6",,"0.498","false","pp","CSNK2A2 (pp) HDAC6","0.099"
"20404",,,"0.9","0.71",,"pp",,"CSNK2A2 (pp) AUTS2",,"0.969","false","pp","CSNK2A2 (pp) AUTS2",
"20405",,,,,,"pp",,"CSNK2A2 (pp) PLEKHO1",,"0.537","false","pp","CSNK2A2 (pp) PLEKHO1","0.537"
"20406",,,,"0.108",,"pp",,"CSNK2A2 (pp) JUN",,"0.503","false","pp","CSNK2A2 (pp) JUN","0.465"
"20407","0.063",,,"0.388",,"pp",,"CSNK2A2 (pp) ABCA1",,"0.403","false","pp","CSNK2A2 (pp) ABCA1","0.043"
"20408","0.069",,,,,"pp",,"CSNK2A2 (pp) PPP4R1",,"0.583","false","pp","CSNK2A2 (pp) PPP4R1","0.57"
"20409",,,,"0.186","0.009","pp",,"CSNK2A2 (pp) ARNTL",,"0.613","false","pp","CSNK2A2 (pp) ARNTL","0.544"
"20410",,,,,,"pp",,"CSNK2A2 (pp) BLCAP",,"0.469","false","pp","CSNK2A2 (pp) BLCAP","0.469"
"20411","0.457",,,"0.069",,"pp",,"CSNK2A2 (pp) CETN3",,"0.494","false","pp","CSNK2A2 (pp) CETN3","0.081"
"20412",,,,"0.15",,"pp",,"ZNF629 (pp) HDAC6",,"0.504","false","pp","ZNF629 (pp) HDAC6","0.441"
"20413","0.061",,,"0.13",,"pp",,"ZNF629 (pp) UBD",,"0.566","false","pp","ZNF629 (pp) UBD","0.512"
"20414","0.383",,,,,"pp",,"TYROBP (pp) TFEC",,"0.401","false","pp","TYROBP (pp) TFEC","0.069"
"20415","0.446",,,,,"pp",,"TYROBP (pp) GPR65",,"0.451","false","pp","TYROBP (pp) GPR65","0.049"
"20416","0.436",,,,,"pp",,"TYROBP (pp) BCL2A1",,"0.476","false","pp","TYROBP (pp) BCL2A1","0.108"
"20417","0.795",,,,,"pp",,"TYROBP (pp) IGSF6",,"0.813","false","pp","TYROBP (pp) IGSF6","0.125"
"20418","0.563",,,,,"pp",,"TYROBP (pp) CD53",,"0.655","false","pp","TYROBP (pp) CD53","0.244"
"20419","0.694",,,,,"pp",,"TYROBP (pp) FCGR2A",,"0.78","false","pp","TYROBP (pp) FCGR2A","0.311"
"20420","0.361",,,,,"pp",,"TYROBP (pp) DOK2",,"0.531","false","pp","TYROBP (pp) DOK2","0.295"
"20421","0.342",,,,,"pp",,"TYROBP (pp) FERMT3",,"0.5","false","pp","TYROBP (pp) FERMT3","0.272"
"20422","0.925",,,,,"pp",,"TYROBP (pp) CSF1R",,"0.964","false","pp","TYROBP (pp) CSF1R","0.539"
"20423","0.563",,,,,"pp",,"TYROBP (pp) SLAMF8",,"0.571","false","pp","TYROBP (pp) SLAMF8","0.058"
"20424","0.888",,,,,"pp",,"TYROBP (pp) FCER1G",,"0.96","false","pp","TYROBP (pp) FCER1G","0.659"
"20425","0.312",,,,,"pp",,"TYROBP (pp) LILRA4",,"0.624","false","pp","TYROBP (pp) LILRA4","0.476"
"20426","0.554",,,,,"pp",,"TYROBP (pp) CCR5",,"0.623","false","pp","TYROBP (pp) CCR5","0.189"
"20427","0.684",,,,,"pp",,"TYROBP (pp) HK3",,"0.684","false","pp","TYROBP (pp) HK3",
"20428","0.35",,,,,"pp",,"TYROBP (pp) NCKAP1L",,"0.402","false","pp","TYROBP (pp) NCKAP1L","0.117"
"20429","0.795",,,,,"pp",,"TYROBP (pp) LAPTM5",,"0.861","false","pp","TYROBP (pp) LAPTM5","0.349"
"20430","0.538",,,,,"pp",,"TYROBP (pp) CCR1",,"0.602","false","pp","TYROBP (pp) CCR1","0.174"
"20431","0.549",,,,,"pp",,"TYROBP (pp) FOLR2",,"0.555","false","pp","TYROBP (pp) FOLR2","0.054"
"20432","0.197",,,"0.077",,"pp",,"TYROBP (pp) CLEC4E",,"0.531","false","pp","TYROBP (pp) CLEC4E","0.418"
"20433","0.738",,,,,"pp",,"TYROBP (pp) MS4A7",,"0.791","false","pp","TYROBP (pp) MS4A7","0.232"
"20434","0.582",,,,,"pp",,"TYROBP (pp) RNASE6",,"0.637","false","pp","TYROBP (pp) RNASE6","0.168"
"20435","0.568",,,,,"pp",,"TYROBP (pp) C3AR1",,"0.646","false","pp","TYROBP (pp) C3AR1","0.213"
