"","gene","lfc1","lfc2","lfc3","lfc4e","lfc4s"
"1","TSPAN6",-0.714682346615471,1.01676278520059,0.167503271649748,0.604372123414082,0.254856145499571
"2","TNMD",-1.98119735719089,1.1530768494706,0.340621950847553,0.480212042307794,1.0507245120345
"3","DPM1",0.128462490832233,1.27420230372517,0.39041790375259,0.845529115079332,0.703911711259163
"4","SCYL3",-0.357729558142808,-0.21243533490266,-0.171021041186019,-0.28339503410541,-0.255587590976156
"5","C1orf112",1.06563860868406,1.44221184021875,1.09447164847532,1.11277782802005,0.971833880111079
"6","FGR",0.74334598177752,-0.91670976611341,-1.04214410162686,0.87312420254841,0.720193944596975
"7","CFH",-1.10420884546993,-2.32541221973497,-2.70315684144536,-0.472073415877653,0.174000697903635
"8","FUCA2",0.308187685623304,0.266798677065037,0.237148625548702,0.133785700926058,-0.0825498433240297
"9","GCLC",0.0355620359700005,0.290516296602546,0.163469253521905,0.031819157628225,0.217353655357887
"10","NFYA",0.343011588001892,0.503774624388734,0.373317370294514,0.44001076720263,0.591914538202379
"11","STPG1",-0.917806035020322,-1.16487533698519,-0.799830164893136,-1.25809314313978,-1.28845839064362
"12","NIPAL3",-0.66264910094114,-0.797562213630155,-0.585483238050839,-0.837337711634966,-0.70573617616725
"13","LAS1L",0.719436141485901,1.26301839595675,0.895797016004186,1.04833476804661,0.896663879643192
"14","ENPP4",-0.551941109797461,-0.466922035155869,-0.45424616494089,-0.47625997889837,-0.524770398207399
"15","SEMA3F",0.613964449803411,1.01489337335095,1.28174397918794,1.12258140072672,1.18424187429331
"16","CFTR",-1.26444643035476,0.387950416943289,-0.0421587506919649,-0.0781059888413282,-0.045740007413469
"17","ANKIB1",0.000717340959126829,0.116158685857138,0.131361633408731,0.225178062623759,0.297155818991739
"18","CYP51A1",0.130079281348143,0.217299364948984,0.17077904914566,0.117606157523179,0.192197738205897
"19","KRIT1",0.140353632814255,0.410688340420465,0.312344123324546,0.351605684054029,0.532262028907184
"20","RAD52",-0.207910487699973,0.0103463570030678,-0.0975852818584698,-0.254670972953089,-0.345062919377993
"21","BAD",-0.8605364755399,-0.731962522214944,-0.697499270010804,-0.87923412911254,-1.13157493504612
"22","LAP3",0.560480015269251,-0.360703024841262,-0.287163240362039,-0.173500735963985,-0.0868867907511949
"23","CD99",-0.308905583495963,-0.192252435135156,-0.396796012849135,-0.05804377425917,-0.12859857000186
"24","HS3ST1",1.1971519428312,0.359573131594791,0.977580546871217,0.611738371648485,0.548950438927761
"25","AOC1",-2.81216408039217,-1.84922831269154,-1.15615594492728,-1.7572210823017,-2.14832958517628
"26","WNT16",0.0246954377865737,-1.29631986728486,-2.03474688231148,-1.36442078375674,-0.414572198125934
"27","HECW1",1.14086458729124,0.633522846536757,-0.353866367205942,2.62750525273696,2.35764223822512
"28","MAD1L1",0.319133067141193,0.417538397547189,0.414939955695292,0.452605254436389,0.480767531108331
"29","LASP1",-0.504499142758686,-0.574490185659068,-0.475507746620112,-0.584009712112281,-0.543049787027237
"30","SNX11",-0.381217614600786,-0.27844135183379,-0.365265160173862,-0.407741613007248,-0.59421030557988
